n,db_id_1,db_id_2,rmsd,tm_score,q_score,ssap_score,search_mode,search_type
1,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0B5A8P4-F1-model_v3,0,0000,1,0000,top_aligned,contained_in
2,AF-A0A0B5A8P4-F1-model_v3,AF-X5IWU3-F1-model_v3,3,8510,0,4786,top_aligned,contained_in
3,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0B5AC95-F1-model_v3,3,8762,0,4760,top_aligned,contained_in
4,AF-A0A0B5A8P4-F1-model_v3,AF-A0A291NVU9-F1-model_v3,4,1903,0,4131,top_aligned,contained_in
5,AF-A0A0B5A8P4-F1-model_v3,AF-A0A1B3IIZ4-F1-model_v3,4,1517,0,4027,top_aligned,contained_in
6,AF-A0A0B5A8P4-F1-model_v3,AF-A0A5C2A2T2-F1-model_v3,3,5047,0,3964,top_aligned,contained_in
7,AF-A0A0B5A8P4-F1-model_v3,AF-A0A1B3IIY1-F1-model_v3,3,2407,0,3956,top_aligned,contained_in
8,AF-A0A0B5A8P4-F1-model_v3,AF-A0A1B3IIX1-F1-model_v3,4,3201,0,3908,top_aligned,contained_in
9,AF-A0A0B5A8P4-F1-model_v3,AF-A6YR20-F1-model_v3,3,2114,0,3905,top_aligned,contained_in
10,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0C9SFM5-F1-model_v3,4,1292,0,3891,top_aligned,contained_in
11,AF-A0A0B5A8P4-F1-model_v3,AF-A0A1Y0F4E9-F1-model_v3,4,2901,0,3871,top_aligned,contained_in
12,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0C9S5X0-F1-model_v3,4,1693,0,3799,top_aligned,contained_in
13,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0K8TTI7-F1-model_v3,2,4203,0,3759,top_aligned,contained_in
14,AF-A0A0B5A8P4-F1-model_v3,AF-P0CB20-F1-model_v3,4,0565,0,3758,top_aligned,contained_in
15,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0C9SEK9-F1-model_v3,3,0592,0,3742,top_aligned,contained_in
16,AF-A0A0B5A8P4-F1-model_v3,AF-A0A1B3IIY3-F1-model_v3,4,1307,0,3733,top_aligned,contained_in
17,AF-A0A0B5A8P4-F1-model_v3,AF-A0A1B3IIZ7-F1-model_v3,4,2661,0,3719,top_aligned,contained_in
18,AF-A0A0B5A8P4-F1-model_v3,AF-U6BZK6-F1-model_v3,2,8963,0,3705,top_aligned,contained_in
19,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0K8TUG5-F1-model_v3,2,9146,0,3688,top_aligned,contained_in
20,AF-A0A0B5A8P4-F1-model_v3,AF-A0A346CIJ6-F1-model_v3,3,1649,0,3655,top_aligned,contained_in
21,AF-A0A0B5A8P4-F1-model_v3,AF-A0A142C1N2-F1-model_v3,3,1426,0,3631,top_aligned,contained_in
22,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0C9S5R2-F1-model_v3,4,6525,0,3624,top_aligned,contained_in
23,AF-A0A0B5A8P4-F1-model_v3,AF-A0A5P8I0Y4-F1-model_v3,4,5224,0,3619,top_aligned,contained_in
24,AF-A0A0B5A8P4-F1-model_v3,AF-A0A1B3IJ03-F1-model_v3,3,0666,0,3618,top_aligned,contained_in
25,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0K8TTI4-F1-model_v3,3,1616,0,3611,top_aligned,contained_in
26,AF-A0A0B5A8P4-F1-model_v3,AF-A0A346CIR2-F1-model_v3,5,0151,0,3577,top_aligned,contained_in
27,AF-A0A0B5A8P4-F1-model_v3,AF-A0A346CID9-F1-model_v3,2,6262,0,3556,top_aligned,contained_in
28,AF-A0A0B5A8P4-F1-model_v3,AF-A0A1B3IIZ9-F1-model_v3,4,1383,0,3515,top_aligned,contained_in
29,AF-A0A0B5A8P4-F1-model_v3,AF-A0A5C1ZXT8-F1-model_v3,4,7146,0,3514,top_aligned,contained_in
30,AF-A0A0B5A8P4-F1-model_v3,AF-H2BKS8-F1-model_v3,3,4481,0,3508,top_aligned,contained_in
31,AF-A0A0B5A8P4-F1-model_v3,AF-A0A346CJF9-F1-model_v3,3,2466,0,3508,top_aligned,contained_in
32,AF-A0A0B5A8P4-F1-model_v3,AF-A0A346CIH5-F1-model_v3,4,8335,0,3497,top_aligned,contained_in
33,AF-A0A0B5A8P4-F1-model_v3,AF-A0A1B3IIZ6-F1-model_v3,4,6325,0,3482,top_aligned,contained_in
34,AF-A0A0B5A8P4-F1-model_v3,AF-H2BKP2-F1-model_v3,3,5528,0,3462,top_aligned,contained_in
35,AF-A0A0B5A8P4-F1-model_v3,AF-W4VSF5-F1-model_v3,3,7522,0,3458,top_aligned,contained_in
36,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0C9RYL1-F1-model_v3,4,5516,0,3440,top_aligned,contained_in
37,AF-A0A0B5A8P4-F1-model_v3,AF-H2BKI9-F1-model_v3,3,5974,0,3438,top_aligned,contained_in
38,AF-A0A0B5A8P4-F1-model_v3,AF-W4VSF4-F1-model_v3,3,5562,0,3433,top_aligned,contained_in
39,AF-A0A0B5A8P4-F1-model_v3,AF-A0A291NVU6-F1-model_v3,4,5978,0,3416,top_aligned,contained_in
40,AF-A0A0B5A8P4-F1-model_v3,AF-A0A291C2D4-F1-model_v3,4,5772,0,3402,top_aligned,contained_in
41,AF-A0A0B5A8P4-F1-model_v3,AF-S4UJZ6-F1-model_v3,4,0349,0,3397,top_aligned,contained_in
42,AF-A0A0B5A8P4-F1-model_v3,AF-H2BKE5-F1-model_v3,3,2518,0,3392,top_aligned,contained_in
43,AF-A0A0B5A8P4-F1-model_v3,AF-A0A075IR47-F1-model_v3,2,9309,0,3383,top_aligned,contained_in
44,AF-A0A0B5A8P4-F1-model_v3,AF-X5IFW1-F1-model_v3,3,8868,0,3373,top_aligned,contained_in
45,AF-A0A0B5A8P4-F1-model_v3,AF-Q9BPC3-F1-model_v3,3,5498,0,3368,top_aligned,contained_in
46,AF-A0A0B5A8P4-F1-model_v3,AF-P56633-F1-model_v3,3,7147,0,3366,top_aligned,contained_in
47,AF-A0A0B5A8P4-F1-model_v3,AF-A0A291C2A7-F1-model_v3,4,2913,0,3357,top_aligned,contained_in
48,AF-A0A0B5A8P4-F1-model_v3,AF-A0A291NVV0-F1-model_v3,4,7871,0,3348,top_aligned,contained_in
49,AF-A0A0B5A8P4-F1-model_v3,AF-H2BKS0-F1-model_v3,3,3914,0,3344,top_aligned,contained_in
50,AF-A0A0B5A8P4-F1-model_v3,AF-A0A5C1ZW08-F1-model_v3,5,2093,0,3336,top_aligned,contained_in
51,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0K8TUC7-F1-model_v3,4,0379,0,3334,top_aligned,contained_in
52,AF-A0A0B5A8P4-F1-model_v3,AF-W4VS51-F1-model_v3,3,2670,0,3314,top_aligned,contained_in
53,AF-A0A0B5A8P4-F1-model_v3,AF-Q9BPC5-F1-model_v3,3,4843,0,3314,top_aligned,contained_in
54,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0C9RYD4-F1-model_v3,5,0100,0,3313,top_aligned,contained_in
55,AF-A0A0B5A8P4-F1-model_v3,AF-A0A291C285-F1-model_v3,2,8832,0,3302,top_aligned,contained_in
56,AF-A0A0B5A8P4-F1-model_v3,AF-Q9TW08-F1-model_v3,3,9702,0,3294,top_aligned,contained_in
57,AF-A0A0B5A8P4-F1-model_v3,AF-P58913-F1-model_v3,3,8263,0,3291,top_aligned,contained_in
58,AF-A0A0B5A8P4-F1-model_v3,AF-H2BKE6-F1-model_v3,3,4013,0,3282,top_aligned,contained_in
59,AF-A0A0B5A8P4-F1-model_v3,AF-Q9BPH9-F1-model_v3,3,2627,0,3280,top_aligned,contained_in
60,AF-A0A0B5A8P4-F1-model_v3,AF-X5IWM7-F1-model_v3,3,9450,0,3279,top_aligned,contained_in
61,AF-A0A0B5A8P4-F1-model_v3,AF-Q9XZK8-F1-model_v3,3,2779,0,3276,top_aligned,contained_in
62,AF-A0A0B5A8P4-F1-model_v3,AF-A0A291NVV7-F1-model_v3,4,7272,0,3274,top_aligned,contained_in
63,AF-A0A0B5A8P4-F1-model_v3,AF-A0A346CJ19-F1-model_v3,4,4273,0,3256,top_aligned,contained_in
64,AF-A0A0B5A8P4-F1-model_v3,AF-R4ILB4-F1-model_v3,3,0756,0,3253,top_aligned,contained_in
65,AF-A0A0B5A8P4-F1-model_v3,AF-H2BKM7-F1-model_v3,3,9373,0,3243,top_aligned,contained_in
66,AF-A0A0B5A8P4-F1-model_v3,AF-M9PMU0-F1-model_v3,2,7716,0,3237,top_aligned,contained_in
67,AF-A0A0B5A8P4-F1-model_v3,AF-H2BKQ9-F1-model_v3,3,2707,0,3236,top_aligned,contained_in
68,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0K2S9F5-F1-model_v3,4,7397,0,3231,top_aligned,contained_in
69,AF-A0A0B5A8P4-F1-model_v3,AF-P0DM21-F1-model_v3,3,0095,0,3231,top_aligned,contained_in
70,AF-A0A0B5A8P4-F1-model_v3,AF-A0A142C1D4-F1-model_v3,2,5290,0,3224,top_aligned,contained_in
71,AF-A0A0B5A8P4-F1-model_v3,AF-Q6PPB1-F1-model_v3,3,4840,0,3223,top_aligned,contained_in
72,AF-A0A0B5A8P4-F1-model_v3,AF-Q9BPI8-F1-model_v3,3,8119,0,3218,top_aligned,contained_in
73,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0K8TTS0-F1-model_v3,4,6699,0,3215,top_aligned,contained_in
74,AF-A0A0B5A8P4-F1-model_v3,AF-A0A384E129-F1-model_v3,3,0051,0,3215,top_aligned,contained_in
75,AF-A0A0B5A8P4-F1-model_v3,AF-A0A142C189-F1-model_v3,3,5094,0,3214,top_aligned,contained_in
76,AF-A0A0B5A8P4-F1-model_v3,AF-A0A0C9SEP5-F1-model_v3,4,1223,0,3213,top_aligned,contained_in
77,AF-A0A0B5A8P4-F1-model_v3,AF-H2BKV8-F1-model_v3,3,4450,0,3212,top_aligned,contained_in
78,AF-A0A0B5A8P4-F1-model_v3,AF-P60274-F1-model_v3,2,7271,0,3209,top_aligned,contained_in
79,AF-A0A0B5A8P4-F1-model_v3,AF-R4ILB5-F1-model_v3,3,0423,0,3205,top_aligned,contained_in
80,AF-A0A0B5A8P4-F1-model_v3,AF-A0A346CIK2-F1-model_v3,4,2760,0,3195,top_aligned,contained_in
81,AF-A0A0B5A8P4-F1-model_v3,AF-F5BDH0-F1-model_v3,3,2406,0,3191,top_aligned,contained_in
82,AF-A0A0B5A8P4-F1-model_v3,AF-H2BKU4-F1-model_v3,3,6768,0,3190,top_aligned,contained_in
83,AF-A0A0B5A8P4-F1-model_v3,AF-R4ILH5-F1-model_v3,2,7228,0,3187,top_aligned,contained_in
